from	to	weight
g157	g461	0.32
g76	g386	0.081
g25	g334	0.69
g16	g276	1
g56	g365	1
g139	g168	0.272
g183	g489	0.032
g95	g106	1
g214	g522	0.069
g144	g450	1
g156	g39	1
g8	g318	0.276
g20	g330	1
g133	g163	0.288
g149	g454	0.226
g285	g15	0.081
g262	g564	1
g161	g195	0.417
g82	g215	1
g32	g341	1
g142	g448	0.334
g40	g349	0.312
g22	g332	1
g192	g499	0.655
g28	g337	0.352
g101	g410	0.208
g109	g589	1
g85	g394	0.025
g89	g398	0.273
g77	g387	1
g295	g597	0.811
g13	g323	1
g230	g323	0.39
g78	g388	0.671
g37	g346	0.29
g103	g412	0.583
g45	g354	1
g246	g551	0.109
g143	g449	0.613
g303	g603	0.288
g185	g491	1
g75	g385	0.334
g234	g540	0.6
g258	g561	1
g250	g38	0.625
g67	g376	0.109
g16	g326	0.286
g197	g503	0.248
g106	g415	1
g223	g583	1
g205	g511	0.894
g54	g363	0.081
g91	g401	0.613
g153	g458	1
g59	g273	1
g62	g371	0.032
g120	g428	1
g252	g555	0.583
g39	g348	1
g66	g375	0.334
g104	g413	1
g240	g546	1
g130	g438	1
g187	g494	0.417
g5	g315	0.288
g272	g575	0.518
g99	g408	1
g6	g316	0.187
g43	g352	0.226
g191	g498	0.001
g215	g523	0.081
g297	g523	0.929
g176	g481	0.544
g203	g509	0.081
g239	g545	0.457
g220	g528	1
g135	g442	0.089
g306	g606	0.184
g2	g471	1
g105	g414	1
g92	g402	1
g273	g576	0.387
g255	g558	0.441
g155	g460	1
g90	g400	0.081
g182	g488	0.109
g208	g514	0.069
g259	g108	0.081
g284	g590	0.929
g38	g347	0.326
g108	g417	1
g173	g477	0.288
g278	g581	0.678
g175	g480	0.279
g133	g479	0.109
g36	g345	0.287
g166	g469	0.401
g142	g534	1
g33	g342	0.081
g134	g441	0.194
g193	g180	0.081
g4	g314	0.417
g160	g464	0.344
g260	g562	0.125
g247	g552	0.332
g279	g582	0.056
g44	g353	0.417
g199	g505	0.032
g30	g339	0.081
g24	g128	0.023
g222	g459	0.248
g154	g459	0.248
g68	g377	0.003
g146	g452	1
g34	g343	0.15
g138	g445	1
g266	g568	0.025
g65	g374	0.57
g245	g550	1
g257	g560	0.096
g152	g457	0.518
g201	g507	1
g114	g423	0.02
g235	g541	0.378
g125	g433	0.586
g228	g537	0.39
g307	g607	0.089
g196	g502	0.13
g226	g535	0.069
g109	g418	1
g23	g333	0.213
g79	g389	0.276
g179	g485	0.081
g151	g456	0.021
g60	g369	0.081
g123	g431	0.355
g237	g543	0.084
g223	g531	1
g256	g559	0.119
g15	g325	0.081
g172	g476	0.201
g288	g592	0.922
g147	g14	0.081
g60	g587	0.081
g229	g189	0.222
g141	g447	0.417
g11	g321	0.194
g128	g436	0.206
g275	g578	0.476
g51	g360	0.201
g35	g344	0.417
g261	g563	1
g110	g419	0.194
g112	g421	0.109
g242	g548	0.517
g97	g406	1
g71	g381	0.153
g301	g601	0.056
g212	g520	1
g289	g593	0.081
g300	g80	0.39
g74	g384	0.671
g94	g404	0.039
g52	g361	0.468
g233	g241	1
g227	g536	0.678
g231	g538	0.019
g90	g516	0.081
g197	g572	0.248
g180	g486	0.131
g84	g399	1
g302	g602	0.222
g304	g604	0.671
g159	g492	0.29
g210	g517	0.007
g204	g510	0.081
g211	g518	1
g248	g553	0.678
g270	g571	0.025
g12	g322	0.69
g165	g468	0.046
g254	g557	0.464
g47	g356	0.31
g129	g437	0.288
g186	g493	0.202
g137	g573	1
g41	g350	0.194
g189	g1	0.69
g55	g364	0.148
g292	g594	1
g190	g497	0.131
g290	g497	1
g159	g463	0.29
g83	g392	0.334
g162	g465	1
g88	g397	0.13
g309	g609	1
g107	g416	1
g67	g416	0.827
g249	g554	0.624
g177	g482	0.081
g232	g539	0.662
g280	g584	0.417
g238	g544	0.13
g291	g443	1
g136	g443	0.01
g198	g504	1
g251	g473	0.256
g169	g473	0.187
g200	g506	0.09
g86	g395	0.69
g268	g570	1
g271	g574	0.583
g102	g411	0.692
g163	g466	0.3
g209	g422	1
g113	g422	0.417
g253	g556	0.539
g84	g393	0.586
g93	g403	0.417
g96	g405	0.096
g61	g370	1
g305	g605	0.373
g263	g565	0.081
g119	g427	0.206
g184	g490	0.605
g308	g608	1
g87	g396	0.172
g126	g434	0.021
g8	g598	0.276
g48	g357	0.678
g128	g426	0.206
g117	g426	0.109
g213	g521	0.15
g49	g358	0.057
g217	g525	1
g144	g519	1
g148	g453	1
g168	g472	0.264
g207	g513	0.081
g218	g526	0.395
g10	g320	1
g124	g432	0.557
g9	g319	0.134
g122	g430	0.704
g137	g444	1
g281	g585	0.248
g56	g530	1
g46	g355	1
g170	g474	0.007
g224	g532	0.211
g70	g380	0.136
g140	g446	0.3
g216	g524	1
g80	g390	0.007
g50	g359	0.474
g243	g378	0.334
g55	g378	0.366
g19	g329	0.291
g244	g549	0.417
g121	g429	0.539
g18	g328	0.081
g57	g366	1
g118	g366	0.894
g69	g379	1
g195	g501	0.417
g116	g425	0.206
g267	g569	0.472
g63	g372	0.134
g26	g335	0.151
g193	g515	0.081
g98	g407	0.181
g236	g542	1
g299	g600	0.032
g287	g508	0.131
g296	g508	0.232
g202	g508	1
g131	g439	0.158
g221	g529	0.373
g167	g470	0.248
g286	g591	0.285
g194	g500	1
g81	g391	0.232
g283	g588	1
g298	g599	1
g27	g336	0.256
g100	g409	0.29
g111	g420	0.187
g264	g566	0.617
g293	g595	0.248
g29	g338	1
g174	g478	0.583
g219	g527	0.671
g21	g331	1
g188	g495	0.055
g269	g274	0.551
g132	g440	0.304
g17	g327	0.152
g164	g467	0.007
g181	g487	0.025
g31	g340	0.034
g171	g475	0.32
g55	g475	0.025
g14	g324	0.15
g225	g533	0.096
g206	g512	0.045
g67	g496	0.827
g58	g367	0.089
g59	g368	0.206
g241	g547	0.529
g277	g580	1
g1	g311	0.69
g150	g455	0.141
g282	g586	1
g2	g312	1
g294	g596	0.376
g7	g317	0.32
g73	g383	0.008
g178	g483	0.109
g145	g451	1
g72	g382	1
g274	g577	0.546
g158	g462	0.119
g86	g484	0.69
g115	g424	1
g276	g579	0.69
g310	g610	0.39
g42	g351	0.021
g64	g373	1
g127	g435	0.032
g53	g362	0.096
g3	g313	0.414
g265	g567	0.206
