from	to	weight
p283	p446	0.028
p66	p373	0.029
p304	p411	0.004
p110	p363	0.212
p267	p382	0.001
p296	p142	0.002
p331	p434	0.002
p289	p37	0.022
p231	p172	0.004
p265	p381	0.001
p328	p132	0.124
p292	p400	0.1
p214	p449	0.012
p318	p426	0.143
p41	p366	0.035
p312	p421	0.001
p281	p131	0.012
p245	p365	0.004
p283	p395	0.031
p335	p438	0.031
p340	p443	0.027
p285	p396	0.016
p287	p344	0.033
p248	p35	0.096
p255	p372	0.002
p308	p417	0.002
p290	p148	0.475
p84	p422	0.045
p236	p354	0.001
p298	p404	0.074
p157	p412	0.064
p305	p413	0.018
p226	p139	0.008
p263	p379	0.003
p313	p424	0.001
p268	p201	0.006
p210	p367	0.009
p246	p367	0.001
p96	p393	1
p237	p355	0.001
p39	p427	0.016
p319	p427	0.006
p342	p445	0.009
p289	p21	0.54
p274	p167	0.01
p327	p432	0.024
p325	p430	0.035
p254	p316	0.004
p202	p448	0.036
p202	p261	0.073
p320	p229	0.035
p330	p333	0.207
p333	p437	0.016
p309	p418	0.336
p241	p358	0.035
p277	p390	0.002
p262	p378	0.475
p247	p368	0.009
p344	p322	0.038
p256	p179	0.189
p228	p234	0.012
p338	p442	0.017
p278	p392	0.033
p339	p14	0.11
p332	p436	0.498
p301	p409	0.001
p322	p428	0.042
p336	p440	0.258
p317	p425	0.002
p243	p361	0.006
p341	p444	0.012
p233	p152	0.015
p50	p389	0.035
p308	p439	0.024
p240	p416	0.031
p229	p349	0.021
p270	p384	0.002
p261	p213	0.083
p235	p210	0.038
p50	p351	0.04
p307	p315	0.03
p284	p315	0.027
p98	p375	0.1
p290	p275	0.1
p227	p222	0.007
p315	p33	0.045
p244	p362	0.022
p260	p383	0.006
p291	p399	0.001
p250	p54	0.013
p323	p429	0.225
p230	p350	0.004
p25	p364	0.009
p80	p364	0.187
p213	p415	0.027
p334	p415	0.015
p260	p377	0.007
p36	p359	0.042
p321	p163	0.174
p314	p136	0.011
p299	p405	0.078
p272	p387	0.011
p258	p294	0.006
p306	p414	0.207
p253	p102	0.002
p276	p268	0.001
p326	p431	0.01
p238	p356	0.161
p337	p441	0.007
p275	p408	0.008
p174	p406	0.006
p84	p435	0.142
p345	p231	0.008
p174	p423	0.113
p264	p380	0.078
p303	p410	0.088
p310	p419	0.003
p251	p370	0.028
p102	p407	0.017
p288	p398	0.089
p273	p388	0.002
p346	p450	0.028
p136	p91	0.475
p64	p348	0.024
p279	p199	0.079
p239	p214	0.051
p280	p394	0.475
p295	p402	0.006
p232	p263	0.055
p266	p263	0.006
p259	p376	0.003
p252	p371	0.055
p300	p386	0.07
p282	p386	0.069
p261	p386	0.007
p293	p401	0.006
p343	p447	0.033
p324	p328	0.004
p167	p433	0.001
p110	p391	0.009
p329	p46	0.001
p324	p274	0.009
p2	p353	0.11
p311	p420	0.001
p269	p215	0.181
p297	p403	0.001
p234	p352	0.022
p249	p369	0.024
p240	p357	0.475
p33	p385	0.207
p271	p385	0.236
p302	p130	0.096
p30	p207	0.225
p302	p207	0.096
p225	p347	0.035
p316	p217	0.071
p286	p397	0.001
p275	p166	0.1
p294	p1	0.012
p168	p135	0.052
p242	p360	0.078
p257	p374	0.011
